Line # ,id_code,fileName,x_localID,x_edhID,x_hispEpID,x_tmID,province,place_name_calc,geo_coords_calc,date_range_start,date_range_start_cert,date_range_end,date_range_end_cert,language,text_markup,text_canonical
1,1000006,10232cc5.xml,EDCS-10401160,,,476515,Aquitania,Périgueux,45.187058 0.722008,0,0,0,0,Latin,D(is) M(anibus) | Corneliae Rev|etae | quonda|m,dis manibvs corneliae revetae qvondam
2,1000041,10a2848d.xml,EDCS-10401312,HD006588,,207639,Aquitania,Saintes,45.744175 -0.633389,0,0,0,0,Latin,D(is) M(anibus) | et memoriae Otociliae Severae | Lugudunensis Martius Aug(usti) lib(ertus) | coniugi karissimae posuit,dis manibvs et memoriae otociliae severae lvgvdvnensis martivs avgvsti libertvs conivgi karissimae posvit
3,1000133,123246f9.xml,EDCS-24500389,,,476401,Aquitania,Bordeaux,44.837368 -0.576144,0,0,0,0,Latin,D(is) M(anibus) | [---] p(ater(?)) p(osuit(?)),dis manibvs pater posvit
4,1000135,123b52fe.xml,EDCS-09401483,HD011150,,207676,Aquitania,Bourges,47.082892 2.396579,0,0,0,0,Latin,D(is) M(anibus) | Iuli Pequliaris sic,dis manibvs ivli peqvliaris
5,1000156,12a417d9.xml,EDCS-09400519,HD010651,,207642,Aquitania,Bourges,47.082892 2.396579,0,0,0,0,Latin,(1) Dis M(anibus) (2) Bani,dis manibvs bani
6,1000173,12e771a4.xml,EDCS-10500301,,,476951,Aquitania,Limoges,45.833619 1.261105,0,0,0,0,Latin,Dis Ma(nibus) | et memor(iae) | Apinossa | Adname((?)) | [,dis manibvs et memoriae apinossa adname
7,1000177,12fb7b12.xml,EDCS-10400895,,,476219,Aquitania,Bordeaux,44.837368 -0.576144,1,1,300,1,Latin,D(is) M(anibus) | [---] Dubitae | 3 an(norum) 3 m(ensium) I d(ierum) X,dis manibvs dvbitae annorvm mensivm i diervm x
8,1000186,1325e9af.xml,EDCS-12000544,HD010699,,207658,Aquitania,Bourges,47.082892 2.396579,0,0,0,0,Latin,Dis Man(ibus) | et memor(iae) | Martiani,dis manibvs et memoriae martiani
9,1000198,136853f9.xml,EDCS-46600803,,,466490,Aquitania,Bourges,47.082892 2.396579,0,0,0,0,Latin,(1) D(is) Mani(bus) (2) et V | an(norum) X,dis manibvs et v annorvm x
10,1000248,140261e5.xml,EDCS-10500552,,,477197,Aquitania,Saint-Geneys-près-Saint-Paulien,45.161343 3.821955,0,0,0,0,Latin,D(is) M(anibus) | et memoriae | aeternae | C(ai) Lat(ini) Pontici((?)) | [,dis manibvs et memoriae aeternae cai latini pontici
11,1000277,145da527.xml,EDCS-10500194,,,476850,Aquitania,Bourges,47.082892 2.396579,0,0,0,0,Latin,D(is) M(anibus) [---]LV[,dis manibvs lv
12,1000285,147c73db.xml,EDCS-09700672,HD011449,,207685,Aquitania,Limoges,45.833619 1.261105,0,0,0,0,Latin,D(is) | M(anibus) | Do|nata|e Don|aticn|ae d(e) s(ua) p(ecunia),dis manibvs donatae donaticnae de sva pecvnia
13,1000306,14c0fab9.xml,HD010702,HD010702,,207659,Aquitania,Bourges,47.082892 2.396579,0,0,0,0,Latin,D(is) M(anibus) | Suaduila,dis manibvs svadvila
14,1000333,15191a5d.xml,EDCS-10401013,,,476335,Aquitania,Bordeaux,44.837368 -0.576144,151,1,220,1,Latin,D(is) M(anibus) | Secun|dino d(e)f(uncto) | n(orum) XII | Secun|dina ma|ter p(onendum) c(uravit),dis manibvs secvndino defvncto norvm xii secvndina mater ponendvm cvravit
15,1000337,151eceb4.xml,HD010672,HD010672,,207649,Aquitania,Bourges,47.082892 2.396579,0,0,0,0,Latin,D(is) M(anibus) Sedulo,dis manibvs sedvlo
16,1000349,15512369.xml,EDCS-10400828,,,476152,Aquitania,Bordeaux,44.837368 -0.576144,0,0,0,0,Latin,D(is) M(anibus) | Atioxt(a)e i<n=M> m|emoria(m(?)) Pilinis | coni=FLux et <f=I>i<l=I>iu(s(?)) | d(e) s(uo) p(osuerunt),dis manibvs atioxtae in memoriam pilinis coniflvx et filivs de svo posvervnt
17,1000354,15634049.xml,EDCS-10500306,,,476956,Aquitania,Limoges,45.833619 1.261105,0,0,0,0,Latin,D(is) M(anibus) et m(emoriae) | Iul(iae) Annoniae | Magnus fil(iae) et | sibi viv(u)s posuit,dis manibvs et memoriae ivliae annoniae magnvs filiae et sibi vivvs posvit
18,1000366,15a6ec9d.xml,EDCS-10500090,HD010696,,207657,Aquitania,Bourges,47.082892 2.396579,0,0,0,0,Latin,D(is) M(anibus) Blandu|la,dis manibvs blandvla
19,1000457,1724cfdf.xml,EDCS-46600815,,,466504,Aquitania,Bourges,47.082892 2.396579,0,0,0,0,Latin,(1) D(is) M(anibus) (2) Florindi co(ntubernalis(?)) p(osuit(?)),dis manibvs florindi contvbernalis posvit
