Line # ,id_code,fileName,x_localID,x_edhID,x_hispEpID,x_tmID,province,place_name_calc,geo_coords_calc,date_range_start,date_range_start_cert,date_range_end,date_range_end_cert,language,text_markup,text_canonical
743,1031612,33016c8.xml,HD000006,HD000006,3134,222924,Baetica,Cañete la Real,36.95154 -5.0244,71,1,150,1,Latin,(1) D(is) M(anibus) s(acrum) (2) Memmia Auctina | an(norum) LXX pia in suis | h(ic) s(ita) e(st) s(it) t(ibi) ter(ra) l(evis),dis manibvs sacrvm memmia avctina annorvm lxx pia in svis hic sita est sit tibi terra levis
1038,1033497,c8ecabde.xml,HD000038,HD000038,924,220901,Baetica,Doña Mencía,37.55346 -4.35602,151,1,200,1,Latin,D(is) M(anibus) s(acrum) | Calpurnia [---] | n(um) XX [---]pia | in suis h(ic) s(ita) e(st) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm calpvrnia nvm xx pia in svis hic sita est sit tibi terra levis
7636,1148338,b537402b.xml,HD000083,HD000083,,213153,Narbonensis,Aix-en-Provence,43.529742 5.447427,131,1,200,1,Latin,(1) D(is) M(anibus)  (2) Cn(aei) Licini  | Marci  | Licinia  | Veneria  | marito  | incomparabili  | et  | dendrophori  | Aquenses,dis manibvs cnaei licini marci licinia veneria marito incomparabili et dendrophori aqvenses
3660,1102869,45d78212.xml,HD000094,HD000094,16353,235335,Hispania Citerior,San Esteban de Gormaz,41.57436 -3.20418,101,1,200,1,Latin,Di(s) Ma(nibus) | Ano Med|ucinus fi(lius(?)) et | Saulcia m(ater(?)) p(ientissimo) f(ecerunt) | annoru|m XXV,dis manibvs ano medvcinvs filivs et savlcia mater pientissimo fecervnt annorvm xxv
3671,1102947,4991777.xml,HD000106,HD000106,17643,236360,Hispania Citerior,Sant Quirze Safaja,41.73333 2.15,171,1,230,1,Latin,D(is) M(anibus) s(acrum) | P(ublius) Obstorius P(ubli) f(ilius)? [---] | vix(it) n(os) VI m(enses) [---] d(ies) [---] | Obstoria filio piissimo | vix(it) n(os) XXVIII post mortem | fili sui dieb(us) VI[---],dis manibvs sacrvm pvblivs obstorivs pvbli filivs vixit nos vi menses dies obstoria filio piissimo vixit nos xxviii post mortem fili svi diebvs vi
1084,1033821,e201fa8b.xml,HD000133,HD000133,3762,223539,Baetica,Valdeparaíso,37.882402 -4.347136,201,1,250,1,Latin,D(is) M(anibus) s(acrum) | Natalis | an(norum) XXXX | pia in | suos=AN#suos#SUAN | sit ter(ra) l(evis),dis manibvs sacrvm natalis annorvm xxxx pia in svosan sit terra levis
5715,1135886,25ce9d43.xml,HD000221,HD000221,6810,241929,Lusitania,Lusitania,38.917216 -6.341213,101,1,300,1,Latin,D(is) M(anibus) s(acrum)  | Cornelia  | Iunia an|noru(m) XXVI  | pia in suis  | hic sita e|st s(it) t(ibi) t(erra) l(evis)  | M(arcus) C(- - -) Corn|elius uxo|ri bene  | meritae,dis manibvs sacrvm cornelia ivnia annorvm xxvi pia in svis hic sita est sit tibi terra levis marcvs c cornelivs vxori bene meritae
5809,1136731,a4af9339.xml,HD000224,HD000224,20441,239302,Lusitania,Mérida,38.917216 -6.341213,197,1,250,1,Latin,D(is) M(anibus) s(acrum)  | G(aio) M(- - -) Zosimo b(ene)f(iciario) leg(ionis)  | VII gem(inae) p(iae) f(elicis) natione  | Italo stipe(n)diorum=ON#stipe(n)diorum#STIPEDIORON  | XX q(ui) vixit annis  | XXXVII mensibus VII  | diebus XXXXVIIII Iunia  | Vera coniug(i) benignissi|mo piissimo=VRCINIO#piissimo#VRCINIO posui<t=N>#posuit#POSUIN  | h(ic) s(itus) e(st) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm gaio m zosimo beneficiario legionis vii geminae piae felicis natione italo stipendiorvmon xx qvi vixit annis xxxvii mensibvs vii diebvs xxxxviiii ivnia vera conivgi benignissimo piissimovrcinio posvit hic sitvs est sit tibi terra levis
7545,1147939,a6dd7323.xml,EDCS-08500448,HD000243,,213159,Narbonensis,La Roque-Alric,44.142888 5.064767,201,1,300,1,Latin,D(is) M(anibus)  | Iovinus  | pater et Leu|cadius mater fi|lio pientissimo  | qui vixit annis  | Leontidi [---]  | II et me(n)ses VIII dies XV,dis manibvs iovinvs pater et levcadivs mater filio pientissimo qvi vixit annis leontidi ii et menses viii dies xv
912,1032614,832ee849.xml,HD000252,HD000252,627,220681,Baetica,Peñaflor,37.70729 -5.346426,101,1,200,1,Latin,D(is) M(anibus) s(acrum) | L(ucius) Iun(ius) O|nesiph|orus an(norum) | LX p(ius) i(n) s(uis) | h(ic) s(itus) e(st) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm lvcivs ivnivs onesiphorvs annorvm lx pivs in svis hic sitvs est sit tibi terra levis
1106,1033976,ef8e6da6.xml,HD000255,HD000255,4659,224427,Baetica,Peñaflor,37.70729 -5.346426,131,1,170,1,Latin,D(is) M(anibus) s(acrum) | Sergia Rustica | n(orum) LXXXX p(ia) | in suos h(ic) s(ita) e(st) | s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm sergia rvstica norvm lxxxx pia in svos hic sita est sit tibi terra levis
882,1032431,74d154f.xml,HD000264,HD000264,2203,222105,Baetica,Carcabuey,37.4442 -4.27471,171,1,230,1,Latin,D(is) M(anibus) s(acrum) | Fortunatus m(unicipum) m(unicipii) Ipolcobul|culensium ser(vus) n(um) XXXXIII | pius in suis hic sit(us) est sit tib(i) ter(ra) levis,dis manibvs sacrvm fortvnatvs mvnicipvm mvnicipii ipolcobvlcvlensivm servvs nvm xxxxiii pivs in svis hic sitvs est sit tibi terra levis
910,1032599,819685d7.xml,HD000267,HD000267,2245,222146,Baetica,Cabra,37.474155 -4.425943,151,1,200,1,Latin,D(is) M(anibus) s(acrum) | [---] Urbanus C((?))[---] | [---] Igabrensi[.] | an(norum) [---] pius in suis h(ic) s(itus) e(st) s(it) t(ibi) t(erra) l(evis) | [---]Primigenius Urbani | lib(ertus) an(norum) VIIII | p(ius) i(n) s(uis) h(ic) s(itus) e(st) s(it) t(ibi) t(erra) l(evis),dis manibvs sacrvm vrbanvs c igabrensi annorvm pivs in svis hic sitvs est sit tibi terra levis primigenivs vrbani libertvs annorvm viiii pivs in svis hic sitvs est sit tibi terra levis
1651,1040650,7eced1f5.xml,HD000328,HD000328,,208035,Belgica,Metz,49.120400 6.177355,101,1,200,1,Latin,D(is) M(anibus) | Belatullus Cossi | Marullina Bellos Belat|ulli,dis manibvs belatvllvs cossi marvllina bellos belatvlli
5776,1136429,78eba244.xml,HD000338,HD000338,20425,239289,Lusitania,Mombeja,38.02405 -8.03778,71,1,130,1,Latin,D(is) M(anibus)[---]  | L(ucio) I(ulio(?)) G(aleria) Arcon|i ann(orum)[---]  | h(ic) s(itus) e(st),dis manibvs lvcio ivlio galeria arconi annorvm hic sitvs est
7011,1145485,52095657.xml,HD000353,HD000353,,213164,Narbonensis,Montsalier,44.012367 5.609145,101,1,200,1,Latin,D(is) M(anibus)  | Attius Soficus  | Aurelio Victo|rino,dis manibvs attivs soficvs avrelio victorino
1685,1040949,d396a0c8.xml,HD000367,HD000367,,208039,Belgica,Metz,49.120400 6.177355,101,1,200,1,Latin,D(is) M(anibus) | Augusto | Taciti f(ilio)(?) Gau((?))|v(a)e Sexti coniug(ibus),dis manibvs avgvsto taciti filio gavvae sexti conivgibvs
