hd_no,province,date_start_ln,date_end_ln,date_start_edh,date_end_edh
HD005283,Bri,51,410,51,300
HD006083,GeS,135,200,151,230
HD006160,GeI,0,0,101,200
HD006314,Lug,0,0,151,200
HD006360,GeS,0,0,101,230
HD008146,GeI,0,0,96,104
HD008191,GeS,51,150,201,250
HD011154,GeS,0,0,101,250
HD011196,GeI,0,0,162,212
HD011214,GeI,0,0,131,170
HD011217,GeI,0,0,171,300
HD011220,GeI,0,0,101,300
HD011232,GeI,0,0,201,250
HD011235,GeI,0,0,101,200
HD012431,Bri,208,410,201,300
HD013471,Bri,43,410,101,300
HD013876,GeS,0,0,101,200
HD013879,GeS,0,0,71,130
HD013882,GeS,0,0,101,300
HD013885,GeS,0,0,101,300
HD013888,GeS,0,0,71,130
HD013891,GeS,0,0,101,200
HD013894,GeS,0,0,101,200
HD013899,GeS,0,0,131,200
HD013903,GeS,0,0,131,200
HD013911,GeI,0,0,201,300
HD014590,Bri,101,410,101,300
HD014803,GeS,0,0,101,130
HD016630,GeI,0,0,101,300
HD018120,GeS,0,0,71,130
HD018127,GeS,0,0,101,200
HD018152,GeS,0,0,171,250
HD018556,Lug,0,0,151,250
HD019746,GeI,0,0,101,300
HD019749,GeI,0,0,151,250
HD019765,Bri,101,410,101,300
HD020290,GeI,0,0,101,200
HD020934,Bri,122,367,122,300
HD021175,Bri,122,410,301,400
HD021374,Bri,101,410,138,300
HD021602,GeS,0,0,101,300
HD021966,GeS,0,0,151,250
HD023106,GeS,0,0,151,250
HD023267,GeS,151,250,171,250
HD024412,GeS,0,0,101,170
HD024460,Bri,122,410,122,300
HD024675,Lug,101,150,101,200
HD024717,GeS,0,0,71,130
HD024940,GeI,0,0,151,200
HD025648,GeS,0,0,201,230
HD025651,GeS,0,0,101,200
HD026866,GeS,0,0,151,230
HD027409,GeS,0,0,101,130
HD027459,GeS,0,0,151,200
HD027462,GeS,0,0,151,250
HD027571,GeS,0,0,131,200
HD027574,GeS,0,0,151,200
HD028996,GeI,0,0,151,230
